Fund Custody Code;External Fund Identifier;Fund Name;Trade Date;Value Date;IBAN;Account Type;Currency;Amount;Reversal Flag;Transaction Type;Transaction ID
10960;DB8826Z5987475;CHALLENGE PROVIDENT FUND 3;30112015;30112015;EMEM ME22 8888 8800 0820 8200;CABR;USD;0.1;N;S2;
10960;DB8826Z5987475;CHALLENGE PROVIDENT FUND 3;30112015;30112015;EMEM ME88 8888 8800 0820 8200;CABR;SEK;-330.91;N;S1;
10960;DB8826Z5987475;CHALLENGE PROVIDENT FUND 3;30112015;30112015;EMEM ME28 8882 8800 0820 8200;CABR;CAD;27.19;N;S2;
10960;DB8826Z5987475;CHALLENGE PROVIDENT FUND 3;30112015;30112015;EMEM ME22 8882 8800 0820 8200;CABR;GBP;20.08;N;S2;
10960;DB8826Z5987475;CHALLENGE PROVIDENT FUND 3;30112015;30112015;EMEM ME28 8882 8800 0820 8800;CABR;JPY;-73628;N;S1;
10960;DB8826Z5987475;CHALLENGE PROVIDENT FUND 3;30112015;30112015;EMEM ME28 8882 8800 0820 0000;CABR;EUR;-456.18;N;S1;
10960;DB8826Z5987475;CHALLENGE PROVIDENT FUND 3;30112015;30112015;EMEM ME88 8882 8800 0820 2200;CABR;AUD;105.46;N;S2;
10959;DB8825Z5987475;CHALLENGE PROVIDENT FUND 2;30112015;30112015;EMEM ME80 8882 8800 0828 8200;CABR;EUR;-527.72;N;S1;
10959;DB8825Z5987475;CHALLENGE PROVIDENT FUND 2;30112015;30112015;EMEM ME20 8882 8800 0828 2200;CABR;USD;1.29;N;S2;
10959;DB8825Z5987475;CHALLENGE PROVIDENT FUND 2;30112015;30112015;EMEM ME88 8882 8800 0828 0200;CABR;NOK;641.47;N;S2;
10959;DB8825Z5987475;CHALLENGE PROVIDENT FUND 2;30112015;30112015;EMEM ME02 8888 8800 0828 2200;CABR;SEK;-1641.51;N;S1;
10959;DB8825Z5987475;CHALLENGE PROVIDENT FUND 2;30112015;30112015;EMEM ME22 8882 8800 0828 2200;CABR;CHF;-325.59;N;S1;
10959;DB8825Z5987475;CHALLENGE PROVIDENT FUND 2;30112015;30112015;EMEM ME88 8888 8800 0828 2200;CABR;CAD;209.44;N;S2;
10959;DB8825Z5987475;CHALLENGE PROVIDENT FUND 2;30112015;30112015;EMEM ME28 8882 8800 0828 8200;CABR;AUD;744.11;N;S2;
10959;DB8825Z5987475;CHALLENGE PROVIDENT FUND 2;30112015;30112015;EMEM ME22 8882 8800 0828 8800;CABR;JPY;-71006;N;S1;
10959;DB8825Z5987475;CHALLENGE PROVIDENT FUND 2;30112015;30112015;EMEM ME88 8888 8800 0828 2200;CABR;GBP;152.45;N;S2;
10959;DB8825Z5987475;CHALLENGE PROVIDENT FUND 2;30112015;30112015;EMEM ME80 8882 8800 0828 8200;CABR;EUR;-5439.49;N;SE;010959SE09113000
10959;DB8825Z5987475;CHALLENGE PROVIDENT FUND 2;30112015;2122015;EMEM ME20 8882 8800 0828 2200;CABR;USD;18000;N;EE;010959EE10068000
10959;DB8825Z5987475;CHALLENGE PROVIDENT FUND 2;30112015;2122015;EMEM ME02 8888 8800 0828 2200;CABR;SEK;1566;N;EE;010959EE10070000
10959;DB8825Z5987475;CHALLENGE PROVIDENT FUND 2;30112015;2122015;EMEM ME22 8882 8800 0828 2200;CABR;CHF;18000;N;EE;010959EE10069000
10959;DB8825Z5987475;CHALLENGE PROVIDENT FUND 2;30112015;2122015;EMEM ME88 8888 8800 0828 2200;CABR;CAD;-34090;N;SE;010959SE09109000
10959;DB8825Z5987475;CHALLENGE PROVIDENT FUND 2;30112015;2122015;EMEM ME82 8888 8800 0828 8200;CABR;HKD;-343200;N;SE;010959SE09112000
10959;DB8825Z5987475;CHALLENGE PROVIDENT FUND 2;30112015;2122015;EMEM ME28 8882 8800 0828 8200;CABR;AUD;-15200;N;SE;010959SE09111000
10959;DB8825Z5987475;CHALLENGE PROVIDENT FUND 2;30112015;2122015;EMEM ME22 8882 8800 0828 8800;CABR;JPY;-1000000;N;SE;010959SE09110000
10959;DB8825Z5987475;CHALLENGE PROVIDENT FUND 2;30112015;2122015;EMEM ME88 8888 8800 0828 2200;CABR;GBP;-14355;N;SE;010959SE09108000
10962;DB8828Z5987475;CHALLENGE PROVIDENT FUND 5;30112015;30112015;EMEM ME22 8882 8800 0822 2800;CABR;EUR;-5347.73;N;S1;
1886;DB4213Z8942010;EURO FIXED INCOME 2;30112015;30112015;EMEM ME22 8888 8220 0822 2800;CABR;EUR;-94.9;N;S1;
1506;DB3789Z9173803;CHALLENGE CYCLICAL FD;30112015;30112015;EMEM ME28 8888 8200 8282 2200;CABR;DKK;-7.85;N;S1;
1506;DB3789Z9173803;CHALLENGE CYCLICAL FD;30112015;30112015;EMEM ME82 8888 8200 8282 2200;CABR;USD;0.16;N;S2;
1506;DB3789Z9173803;CHALLENGE CYCLICAL FD;30112015;30112015;EMEM ME20 8888 8200 8288 2000;CABR;GBP;23.71;N;S2;
1506;DB3789Z9173803;CHALLENGE CYCLICAL FD;30112015;30112015;EMEM ME88 8888 8200 8288 2800;CABR;CHF;-27.19;N;S1;
1506;DB3789Z9173803;CHALLENGE CYCLICAL FD;30112015;30112015;EMEM ME88 8888 8200 8288 2800;CABR;SEK;-80.38;N;S1;
1506;DB3789Z9173803;CHALLENGE CYCLICAL FD;30112015;30112015;EMEM ME20 8888 8200 8288 8800;CABR;NOK;1.34;N;S2;
1506;DB3789Z9173803;CHALLENGE CYCLICAL FD;30112015;30112015;EMEM ME02 8888 8200 8282 2200;CABR;NZD;25.99;N;S2;
1506;DB3789Z9173803;CHALLENGE CYCLICAL FD;30112015;30112015;EMEM ME28 8888 8200 8282 2800;CABR;JPY;-1028;N;S1;
1506;DB3789Z9173803;CHALLENGE CYCLICAL FD;30112015;30112015;EMEM ME82 8888 8200 8288 0000;CABR;AUD;65.19;N;S2;
1506;DB3789Z9173803;CHALLENGE CYCLICAL FD;30112015;30112015;EMEM ME82 8888 8200 8282 2200;CABR;USD;1420;N;EE;001506EEA0232000
1509;DB3784Z9173803;CHALLENGE COUNTER CYCLICAL;30112015;30112015;EMEM ME88 8882 8200 8228 2000;CABR;EUR;-29.22;N;S1;
1509;DB3784Z9173803;CHALLENGE COUNTER CYCLICAL;30112015;30112015;EMEM ME28 8882 8200 8222 8200;CABR;USD;0.56;N;S2;
1509;DB3784Z9173803;CHALLENGE COUNTER CYCLICAL;30112015;30112015;EMEM ME08 8882 8200 8228 0200;CABR;GBP;23.04;N;S2;
1509;DB3784Z9173803;CHALLENGE COUNTER CYCLICAL;30112015;30112015;EMEM ME28 8882 8200 8228 0800;CABR;CHF;-1.2;N;S1;
1509;DB3784Z9173803;CHALLENGE COUNTER CYCLICAL;30112015;30112015;EMEM ME88 8882 8200 8228 8800;CABR;SEK;-1.72;N;S1;
1509;DB3784Z9173803;CHALLENGE COUNTER CYCLICAL;30112015;30112015;EMEM ME20 8882 8200 8220 2200;CABR;NOK;37.17;N;S2;
1509;DB3784Z9173803;CHALLENGE COUNTER CYCLICAL;30112015;30112015;EMEM ME28 8882 8200 8228 2800;CABR;NZD;80.43;N;S2;
1509;DB3784Z9173803;CHALLENGE COUNTER CYCLICAL;30112015;30112015;EMEM ME22 8882 8200 8228 8200;CABR;JPY;-1041;N;S1;
